text_1,text_2,text_3,text_4,constructive,test_1,test_2,test_3,test_4
"the person claim saudi deal ' seal ' liberals choice , person claim $ 250 million payment f - 35 program chretien non binding , could get anytime . can not way .","the person claim saudi deal ' seal ' liberals choice , person claim $ 250 million payment f - 35 program chretien non - binding , could get anytime . can not way .","the same person who claim that the saudi deal be ' seal ' and the liberals have no choice , be the same person who claim that the $ 250 million down payment on the f - 35 program by chretien be non bind , and could be get out of anytime . can not have it both way .","the same person who claim that the saudi deal be ' seal ' and the liberals have no choice , be the same person who claim that the $ 250 million down payment on the f - 35 program by chretien be non - bind , and could be get out of anytime . can not have it both way .",0,1,1,1,1
"justin need look recent history . who brilliant strategist plan dion ignatieff ? next , ask himself , ' what would now ? ' then do , something completely different . whatever be , immense improvement .","justin need look recent history . who brilliant strategist plan dion ignatieff ? next , ask himself , ' what would now ? ' then do , something completely different . whatever be , immense improvement .","justin need to look at recent history . who be the brilliant strategist who plan for dion and ignatieff ? next , he should ask himself , ' what would they do now ? ' then do , something completely different . whatever that be , will be a immense improvement .","justin need to look at recent history . who be the brilliant strategist who plan for dion and ignatieff ? next , he should ask himself , ' what would they do now ? ' then do , something completely different . whatever that be , will be a immense improvement .",0,1,1,1,1
"p.m. harper crony deserve every brickbat come way reporter simpson 's credibility throw type spin undermine suppose aim journalism , fair objective . shameful mr. simpson .","p.m. harper crony deserve every brickbat come way reporter simpson 's credibility throw type spin undermine suppose aim journalism , fair objective . shameful mr. simpson .","p.m. harper and his crony deserve every brickbat now come their way but to have a reporter of simpson 's credibility throw out this type of spin just further undermine the suppose aim of journalism , to be fair and objective . shameful mr. simpson .","p.m. harper and his crony deserve every brickbat now come their way but to have a reporter of simpson 's credibility throw out this type of spin just further undermine the suppose aim of journalism , to be fair and objective . shameful mr. simpson .",0,1,1,1,1
"why would act old , old , able work 95 ? my wife ontario teacher pension plan be bad nightmare ... taxpayer .http://mentalfloss.com/article/31014/why-retirement-age-65","why would act old , old , able work 95 ? my wife ontario teacher pension plan be bad nightmare ... taxpayer .http://mentalfloss.com/article/31014/why-retirement-age-65","why would you act old , when you be not old , and you should be able work until you be 95 ? my wife be the ontario teacher pension plan 's bad nightmare ... and taxpayer .http://mentalfloss.com/article/31014/why-retirement-age-65","why would you act old , when you be not old , and you should be able work until you be 95 ? my wife be the ontario teacher pension plan 's bad nightmare ... and taxpayer .http://mentalfloss.com/article/31014/why-retirement-age-65",0,1,1,1,1
"you wish margarethe wade controversy grace . no one expect perfection . everyone still appreciative night day improvement compare previous regime . yes , moral high ground respectful help lot . it elevate dialogue person bring good instead bad . again , long honeymoon continue due approach integrity matter beat guy .","you wish margarethe wade controversy grace . no one expect perfection . everyone still appreciative night day improvement compare previous regime . yes , moral high ground respectful help lot . it elevate dialogue person bring good instead bad . again , long honeymoon continue due approach integrity matter beat guy .","you wish margarethe wade into controversy with grace . no one expect perfection . everyone be still very appreciative of the night and day improvement compare to the previous regime . yes , the moral high ground and be respectful help a lot . it elevate the dialogue so person bring their good instead of their bad . again , the long honeymoon continue due to a approach where integrity matter more than just beat the other guy .","you wish margarethe wade into controversy with grace . no one expect perfection . everyone be still very appreciative of the night and day improvement compare to the previous regime . yes , the moral high ground and be respectful help a lot . it elevate the dialogue so person bring their good instead of their bad . again , the long honeymoon continue due to a approach where integrity matter more than just beat the other guy .",0,1,1,1,1
"no one write article bev oda , $ 16 oj london . once take one cabinet minister other fair game .","no one write article bev oda , $ 16 oj london . once take one cabinet minister other fair game .","no one write this same article for bev oda , she of the $ 16 oj in london . once you take down one cabinet minister other be fair game .","no one write this same article for bev oda , she of the $ 16 oj in london . once you take down one cabinet minister other be fair game .",0,1,1,1,1
hillary pr team ‏@onmessageforher 3 hour agodo you personal tragedy trump nothing could nonetheless cynically leverage attack he ? please contact we !,hillary pr team ‏@onmessageforher 3 hour agodo you personal tragedy trump nothing could nonetheless cynically leverage attack he ? please contact we !,hillary pr team ‏@onmessageforher 3 hour agodo you have a personal tragedy trump have nothing to do with that could nonetheless be cynically leverage to attack he ? please contact we !,hillary pr team ‏@onmessageforher 3 hour agodo you have a personal tragedy trump have nothing to do with that could nonetheless be cynically leverage to attack he ? please contact we !,0,1,1,1,1
"i see pmo drone active today silly , tired , negative mostly pointless statement . take first one ' joe cool ' see hard ( most likely pay tax dollar ) work say almost nothing many time :) www.theglobeandmail.com/community/profiles/?uid=16347836","i see pmo drone active today silly , tired , negative mostly pointless statement . take first one ' joe cool ' see hard ( most likely pay tax dollar ) work say almost nothing many time :) www.theglobeandmail.com/community/profiles/?uid=16347836","i see pmo drone active today with silly , tired , negative and mostly pointless statement . take the first one ' joe cool ' and see how hard ( most likely pay with our tax dollar ) he work to say almost nothing so many time :) www.theglobeandmail.com/community/profiles/?uid=16347836","i see pmo drone active today with silly , tired , negative and mostly pointless statement . take the first one ' joe cool ' and see how hard ( most likely pay with our tax dollar ) he work to say almost nothing so many time :) www.theglobeandmail.com/community/profiles/?uid=16347836",0,1,1,1,1
i get now .... we vote wrong guy .... we vote conservative . government .. harper conservative government ..... ps... speak vindictiveness ... trudeau win election ... harper lose election ...,i get now .... we vote wrong guy .... we vote conservative . government .. harper conservative government ..... ps... speak vindictiveness ... trudeau win election ... harper lose election ...,i get it now .... we vote in the wrong guy .... we should have vote in a conservative . government .. but not the harper conservative government ..... ps... speak of vindictiveness ... trudeau do not win the election ... harper lose the election ...,i get it now .... we vote in the wrong guy .... we should have vote in a conservative . government .. but not the harper conservative government ..... ps... speak of vindictiveness ... trudeau do not win the election ... harper lose the election ...,0,1,1,1,1
of course fool ontarian ...... ontarian fool !,of course fool ontarian ...... ontarian fool !,of course it will fool ontarian ...... ontarian be fool !,of course it will fool ontarian ...... ontarian be fool !,0,1,1,1,1
"be take get mason take break twice weekly propaganda rant conservative party ? boohoo gary . call whaaaambulance . trade car stop crybaby . as aside , fraud vw surprise . look history founder .","be take get mason take break twice weekly propaganda rant conservative party ? boohoo gary . call whaaaambulance . trade car stop crybaby . as aside , fraud vw surprise . look history founder .","be this what it take to get mason to take a break from his twice weekly propaganda rant against the conservative party ? boohoo gary . call the whaaaambulance . trade in your car and stop be such a crybaby . as a aside , this fraud by vw be no surprise . look up its history and its founder .","be this what it take to get mason to take a break from his twice weekly propaganda rant against the conservative party ? boohoo gary . call the whaaaambulance . trade in your car and stop be such a crybaby . as a aside , this fraud by vw be no surprise . look up its history and its founder .",0,1,1,1,1
"the republican lose trump , lose senate maybe even house . and deservedly let pied piper charlatan top ticket .","the republican lose trump , lose senate maybe even house . and deservedly let pied piper charlatan top ticket .","the republican will not only lose with trump , they will lose the senate and maybe even the house . and deservedly so for let this pied piper charlatan be on the top of their ticket .","the republican will not only lose with trump , they will lose the senate and maybe even the house . and deservedly so for let this pied piper charlatan be on the top of their ticket .",0,1,1,1,1
conservatives care win . they demonstrate they will anything take get keep power . they thoroughly nasty person . the next election can not come soon enough .,conservatives care win . they demonstrate they will anything take get keep power . they thoroughly nasty person . the next election can not come soon enough .,conservatives care only about win . they have demonstrate that they will do anything it take to get and keep power . they be thoroughly nasty person . the next election can not come soon enough .,conservatives care only about win . they have demonstrate that they will do anything it take to get and keep power . they be thoroughly nasty person . the next election can not come soon enough .,0,1,1,1,1
i be sure conservative ( angry old man ) see news last election say meeting .,i be sure conservative ( angry old man ) see news last election say meeting .,i be sure that conservative ( angry old man ) see in the news from the last election will have a say about this meeting .,i be sure that conservative ( angry old man ) see in the news from the last election will have a say about this meeting .,0,1,1,1,1
"as soon i see avi naomi appear column brain turn off . for i know might something useful witty , i can not abide cat fight .","as soon i see avi naomi appear column brain turn off . for i know might something useful witty , i can not abide cat fight .","as soon as i see avi and naomi appear in any of this column my brain turn off . for all i know there might have be something useful and witty , but i can not abide your cat fight .","as soon as i see avi and naomi appear in any of this column my brain turn off . for all i know there might have be something useful and witty , but i can not abide your cat fight .",0,1,1,1,1
"another pro-harper journalist , leftover previous administration . further proof globe unreadable now .","another pro-harper journalist , leftover previous administration . further proof globe unreadable now .","another pro-harper journalist , leftover from the previous administration . further proof the globe be unreadable now .","another pro-harper journalist , leftover from the previous administration . further proof the globe be unreadable now .",0,1,1,1,1
why globe print drivel . old idea refuse realize country bear vote harper tories .,why globe print drivel . old idea refuse realize country bear vote harper tories .,why do the globe print this drivel . old idea that refuse to realize that the country could not bear and vote out the harper tories .,why do the globe print this drivel . old idea that refuse to realize that the country could not bear and vote out the harper tories .,0,1,1,1,1
"well , thanks slap side silly optimistic head . pollyanna i . let we return salutary anger divisiveness .","well , thanks slap side silly optimistic head . pollyanna i . let we return salutary anger divisiveness .","well , thanks for that slap up the side of my silly optimistic head . pollyanna i . let we return to salutary anger and divisiveness .","well , thanks for that slap up the side of my silly optimistic head . pollyanna i . let we return to salutary anger and divisiveness .",0,1,1,1,1
"really bad woman preside destruction four state middle east one eastern europe , acquire 250 million net worth public servant whose husband serial sexual predator , repeatedly lie private email server","really bad woman preside destruction four state middle east one eastern europe , acquire 250 million net worth public servant , whose husband serial sexual predator , repeatedly lie private email server ?","can he really be bad than a woman who have preside over the destruction of four state in the middle east and one in eastern europe , who have acquire 250 million in net worth as a public servant whose husband be a serial sexual predator , who repeatedly lie about her private email server","can he really be bad than a woman who have preside over the destruction of four state in the middle east and one in eastern europe , who have acquire 250 million in net worth as a public servant , whose husband be a serial sexual predator , who repeatedly lie about her private email server ?",0,1,1,1,1
"the liberal handler sure know pick good mascot . the mascot , i afraid , get head destine ' history ' ' political dynasty legacy ' .","the liberal handler sure know pick good mascot . the mascot , i afraid , get head destine ' history ' ' political dynasty legacy ' .","the liberal handler sure know how to pick a good mascot . the mascot , i be afraid , have get it into his head that he be destine for ' history ' and ' political dynasty legacy ' .","the liberal handler sure know how to pick a good mascot . the mascot , i be afraid , have get it into his head that he be destine for ' history ' and ' political dynasty legacy ' .",0,1,1,1,1
"justin , know big liberal shill globe say bad week , bad week .","justin , know big liberal shill globe say bad week , bad week .","justin , you know when the big liberal shill at the globe say you have have a bad week , you have have a bad week .","justin , you know when the big liberal shill at the globe say you have have a bad week , you have have a bad week .",0,1,1,1,1
"who speak rest canada ( roc ) , mister jeff ? help one , i be confused !","who speak rest canada ( roc ) , mister jeff ? help one , i be confused !","who speak for the rest of canada ( roc ) , mister jeff ? help i on this one , i be very confused !","who speak for the rest of canada ( roc ) , mister jeff ? help i on this one , i be very confused !",0,1,1,1,1
"oh , everything ok now . we new ambassador religious freedom , post pay for , doubt , cut scientific research .","oh , everything ok now . we new ambassador religious freedom , post pay for , doubt , cut scientific research .","oh , but everything be ok now . we have a new ambassador of religious freedom , a post pay for , no doubt , by cut to scientific research .","oh , but everything be ok now . we have a new ambassador of religious freedom , a post pay for , no doubt , by cut to scientific research .",0,1,1,1,1
no problem york .,no problem york .,no the problem be york .,no the problem be york .,0,1,1,1,1
i track along till i see who be behind rebel .,i track along till i see who be behind rebel .,i be track along till i see who be behind the rebel .,i be track along till i see who be behind the rebel .,0,1,1,1,1
i be really disappoint drumpf promise wall america 's northern border .,i be really disappoint drumpf promise wall america 's northern border .,i be really disappointed drumpf be not promise a wall on america 's northern border .,i be really disappointed drumpf be not promise a wall on america 's northern border .,0,1,1,1,1
even con use ' their ' money still 70 % money .,even con use ' their ' money still 70 % money .,even when the con use ' their ' money its still 70 % our money .,even when the con use ' their ' money its still 70 % our money .,0,1,1,1,1
marsha write column make margaret 's look profoundly sensible insightful comparison .,marsha write column make margaret 's look profoundly sensible insightful comparison .,marsha have write a column which make margaret 's look profoundly sensible and insightful by comparison .,marsha have write a column which make margaret 's look profoundly sensible and insightful by comparison .,0,1,1,1,1
article complete nonsense . why research topic write instead tie together bunch unrelated thing prove point liberal person supposedly exist somewhere .,article complete nonsense . why research topic write instead tie together bunch unrelated thing prove point liberal person supposedly exist somewhere .,this article be complete nonsense . why do not you research a topic and write about it instead of tie together a bunch of unrelated thing to prove a point against some liberal person that supposedly exist somewhere .,this article be complete nonsense . why do not you research a topic and write about it instead of tie together a bunch of unrelated thing to prove a point against some liberal person that supposedly exist somewhere .,0,1,1,1,1
"of course , staff go love selection hour drink spot qatar ..........","of course , staff go love selection hour drink spot qatar ..........","of course , all the staff be just go to love their selection of after hour drinking spot in qatar ..........","of course , all the staff be just go to love their selection of after hour drinking spot in qatar ..........",0,1,1,1,1
"lol , can not serious . that be actually bad far offensive allow recite oath cover up . i problem wear beekeeper suit long identify private . i big problem make special gender segregate ceremony though . that would truly unacceptable . this whole thing completely ridiculous .","lol , can not serious . that be actually bad far offensive allow recite oath cover up . i problem wear beekeeper suit long identify private . i big problem make special gender segregate ceremony though . that would truly unacceptable . this whole thing completely ridiculous .","lol , you can not be serious . that be be actually bad and far more offensive than just allow her to recite the oath cover up . i have no problem with her wear the beekeeper suit as long as she identify herself in private . i have a big problem with make a special gender segregate ceremony just for her though . that be what would be truly unacceptable . this whole thing be completely ridiculous .","lol , you can not be serious . that be be actually bad and far more offensive than just allow her to recite the oath cover up . i have no problem with her wear the beekeeper suit as long as she identify herself in private . i have a big problem with make a special gender segregate ceremony just for her though . that be what would be truly unacceptable . this whole thing be completely ridiculous .",0,1,1,1,1
"i can not believe dumb endorsement be . i could go reason obvious many person already state obvious . harper conservatives , equal everyone 's mind !","i can not believe dumb endorsement be . i could go reason obvious many person already state obvious . harper conservatives , equal everyone 's mind !","i can not believe how dumb this endorsement be . i could go on about the reason but they be so obvious and many person have already state the obvious . harper be the conservatives , they be equal in everyone 's mind !","i can not believe how dumb this endorsement be . i could go on about the reason but they be so obvious and many person have already state the obvious . harper be the conservatives , they be equal in everyone 's mind !",0,1,1,1,1
writer like one reason trump win . the pushback leave wing arrogance arrive . thanks play part ms southey .,writer like one reason trump win . the pushback leave wing arrogance arrive . thanks play part ms southey .,writer like this be one of the reason why trump win . the pushback against left wing arrogance have arrive . thanks for play your part ms southey .,writer like this be one of the reason why trump win . the pushback against left wing arrogance have arrive . thanks for play your part ms southey .,0,1,1,1,1
very well consider well write . could not agree globe .,very well consider well write . could not agree globe .,very well consider and well write . could not agree more with the globe .,very well consider and well write . could not agree more with the globe .,0,1,1,1,1
another globe editorial pretend upset absolve even complement dictator 's pathetic record lie misuse fund . pathetic,another globe editorial pretend upset absolve even complement dictator 's pathetic record lie misuse fund . pathetic,another globe editorial pretend to be upset while absolve and even complement the dictator 's pathetic record of lie and misuse of fund . pathetic,another globe editorial pretend to be upset while absolve and even complement the dictator 's pathetic record of lie and misuse of fund . pathetic,0,1,1,1,1
"if drain the swamp , they would find would trump live bottom .","if drain the swamp , they would find would trump live bottom .","if they do drain the swamp , all they would find would be trump live on the bottom .","if they do drain the swamp , all they would find would be trump live on the bottom .",0,1,1,1,1
why even bother wait hold another one stupid referendum ? let kick canada now !,why even bother wait hold another one stupid referendum ? let kick canada now !,why should we even bother to wait for they to hold another one of their stupid referendum ? let kick they out of canada now !,why should we even bother to wait for they to hold another one of their stupid referendum ? let kick they out of canada now !,0,1,1,1,1
i will add voice find editorial absurd .,i will add voice find editorial absurd .,i will just add my voice to that who find this editorial absurd .,i will just add my voice to that who find this editorial absurd .,0,1,1,1,1
the g&m must go search point view . vindictiveness ? carry way might well put stephen harper editorial board .,the g&m must go search point view . vindictiveness ? carry way might well put stephen harper editorial board .,the g&m must go out search for this point of view . vindictiveness ? carry on this way and you might as well put stephen harper on your editorial board .,the g&m must go out search for this point of view . vindictiveness ? carry on this way and you might as well put stephen harper on your editorial board .,0,1,1,1,1
"today 's conservatives really conservative all , really mean .","today 's conservatives really conservative all , really mean .","today 's conservatives be not really conservative at all , just really mean .","today 's conservatives be not really conservative at all , just really mean .",0,1,1,1,1
so g&m endorse conservative party leader ? seem odd .,so g&m endorse conservative party leader ? seem odd .,so the g&m have endorse the conservative party but not its leader ? seem odd .,so the g&m have endorse the conservative party but not its leader ? seem odd .,0,1,1,1,1
not sure point essay be . pronounce trudeau failure even take office ?,not sure point essay be . pronounce trudeau failure even take office ?,not sure what the point of this essay be . pronounce trudeau a failure before he even take office ?,not sure what the point of this essay be . pronounce trudeau a failure before he even take office ?,0,1,1,1,1
why endorse then . and i surprise like person ahead editorial board seem learn anything endorse mr. harper .,why endorse then . and i surprise - like person ahead - editorial board seem learn anything endorse mr. harper .,why endorse any of they then . and i be surprised like the person ahead of i that your editorial board do not seem to have learn anything from have endorse mr. harper .,why endorse any of they then . and i be surprised - like the person ahead of i - that your editorial board do not seem to have learn anything from have endorse mr. harper .,0,1,1,1,1
we need woman child welfare system . justin go spend anyone preceed he .,we need woman child welfare system . justin go spend anyone preceed he .,we need more woman and child for the welfare system . justin be go to spend more than anyone preceed he .,we need more woman and child for the welfare system . justin be go to spend more than anyone preceed he .,0,1,1,1,1
read comment one conclude shortage contemporary flagellant unquestioningly believe must ( economically ) punish suppose crime nature . some thing never change : upload.wikimedia.org/wikipedia/commons/4/48/flagellants.png,read comment one conclude shortage contemporary flagellant unquestioningly believe must ( economically ) punish suppose crime nature . some thing never change : upload.wikimedia.org/wikipedia/commons/4/48/flagellants.png,read the comment one can only conclude that there be no shortage of contemporary flagellant who unquestioningly believe that we must ( economically ) punish ourselves for our suppose crime against nature . some thing never change : upload.wikimedia.org/wikipedia/commons/4/48/flagellants.png,read the comment one can only conclude that there be no shortage of contemporary flagellant who unquestioningly believe that we must ( economically ) punish ourselves for our suppose crime against nature . some thing never change : upload.wikimedia.org/wikipedia/commons/4/48/flagellants.png,0,1,1,1,1
great guy statement totally truetime stare instead capitulatingoh job side applaud entrepreneurialism overpayment program must stop,great guy statement totally truetime stare instead capitulatingoh job side applaud entrepreneurialism overpayment program must stop,great guy and this statement be totally truetime we stare they down instead of just capitulatingoh and they all have job on the side applaud their entrepreneurialism but this overpayment program must stop,great guy and this statement be totally truetime we stare they down instead of just capitulatingoh and they all have job on the side applaud their entrepreneurialism but this overpayment program must stop,0,1,1,1,1
something bad go jt need welcome 25000 refugee ...,something bad go jt need welcome 25000 refugee ...,something very very bad be go on over there if jt need to welcome 25000 refugee ...,something very very bad be go on over there if jt need to welcome 25000 refugee ...,0,1,1,1,1
"just bluster cowardly , bullying p.m. stroke ego . what waste skin space be !","just bluster cowardly , bullying p.m. stroke ego . what waste skin space be !","just more bluster from our cowardly , bullying p.m. to stroke his own ego . what a waste of skin and space he be !","just more bluster from our cowardly , bullying p.m. to stroke his own ego . what a waste of skin and space he be !",0,1,1,1,1
the tories ? you get to f# @ % ing kid . who bribe editorial board time ?,the tories ? you get to f# @ % ing kid . who bribe editorial board time ?,the tories ? you get to be f# @ % ing kid . who bribe the editorial board this time ?,the tories ? you get to be f# @ % ing kid . who bribe the editorial board this time ?,0,1,1,1,1
"our dear prime minister child candy store mind splurge . thanks another great article , margaret .","our dear prime minister child candy store mind splurge . thanks another great article , margaret .","our dear prime minister be a child in a candy store with a mind for splurging . thanks for another great article , margaret .","our dear prime minister be a child in a candy store with a mind for splurging . thanks for another great article , margaret .",0,1,1,1,1
quick somebody call barbaric cultural snitch - line report tony .,quick somebody call barbaric cultural snitch - line report tony .,quick somebody call the barbaric cultural snitch - line and report tony .,quick somebody call the barbaric cultural snitch - line and report tony .,0,1,1,1,1
love endless liberal spin thread ; would think election referendum electoral reform . it be not . put vote person shut already .,love endless liberal spin thread ; would think election referendum electoral reform . it be not . put vote person shut already .,love the endless liberal spin on this thread ; you would have think the election be a referendum on electoral reform . it be not . put it to a vote of the person or shut up already .,love the endless liberal spin on this thread ; you would have think the election be a referendum on electoral reform . it be not . put it to a vote of the person or shut up already .,0,1,1,1,1
doug saunders article call pro-brexit supporter racist get eat alive . seem like editor bunch masochist too .,doug saunders article call pro-brexit supporter racist get eat alive . seem like editor bunch masochist too .,doug saunders article call all pro-brexit supporter racist just get eat alive . seem like the editor be a bunch of masochist too .,doug saunders article call all pro-brexit supporter racist just get eat alive . seem like the editor be a bunch of masochist too .,0,1,1,1,1
harper madness . konrad open mind close repair .,"harper madness . konrad , open mind close repair .",harper madness . konrad such open mind should be close for repair .,"harper madness . konrad , such open mind should be close for repair .",0,1,1,1,1
"i hear globe endorse hockey , stick . # otherglobeendorsement","i hear globe endorse hockey , stick . # otherglobeendorsement","i hear the globe endorse hockey , but not the stick . # otherglobeendorsement","i hear the globe endorse hockey , but not the stick . # otherglobeendorsement",0,1,1,1,1
"dumb ! harper gut former p.c. party alone , so ... suggest voter ?","dumb ! harper gut former p.c. party alone , so ... suggest voter ?","dumb ! harper have gut the former p.c. party and it now be his alone , so ... what be you suggest for voter ?","dumb ! harper have gut the former p.c. party and it now be his alone , so ... what be you suggest for voter ?",0,1,1,1,1
"wow , comment nasty . how national post comment get here .","wow , comment nasty . how national post comment get here .","wow , this comment be nasty . how do national post comment get on here .","wow , this comment be nasty . how do national post comment get on here .",0,1,1,1,1
go ahead ontario . elect hudak . i dare you .,go ahead ontario . elect hudak . i dare you .,go ahead ontario . elect hudak . i dare you .,go ahead ontario . elect hudak . i dare you .,0,1,1,1,1
"sorry young lady lose validity say media support he , even watch clinton news network .?","sorry young lady lose validity say media support he , even watch clinton news network .?","sorry young lady but you lose all validity when you say the media support he , do you even watch the clinton news network .?","sorry young lady but you lose all validity when you say the media support he , do you even watch the clinton news network .?",0,1,1,1,1
marvellous column !,marvellous column !,marvellous column !,marvellous column !,0,1,1,1,1
it would sad comment anyone actually cast vote base opinion ' issue ' .,it would sad comment anyone actually cast vote base opinion ' issue ' .,it would be a sad comment if anyone actually cast their vote base on their opinion in this ' issue ' .,it would be a sad comment if anyone actually cast their vote base on their opinion in this ' issue ' .,0,1,1,1,1
"physician , heal thyself .","physician , heal thyself .","physician , heal thyself .","physician , heal thyself .",0,1,1,1,1
ooooop ! well that be good .,ooooop ! well that be good .,ooooop ! well that be not good .,ooooop ! well that be not good .,0,1,1,1,1
"its okay , friend alberta vote harpo . btw i take nice short position alberta oil september . hahaha","its okay , friend alberta vote harpo . btw i take nice short position alberta oil september . hahaha","its okay , all our friend in alberta will vote for harpo . btw i take a nice short position on alberta oil in september . hahaha","its okay , all our friend in alberta will vote for harpo . btw i take a nice short position on alberta oil in september . hahaha",0,1,1,1,1
more ' progressive tolerance ' action yet another university campus : http://fullcomment.nationalpost.com/2014/04/15/robyn-urback-if-this-is-the-new-womens-movement-its-no-wonder-girls-dont-want-to-call-themselves-feminists/,more ' progressive tolerance ' action yet another university campus : http://fullcomment.nationalpost.com/2014/04/15/robyn-urback-if-this-is-the-new-womens-movement-its-no-wonder-girls-dont-want-to-call-themselves-feminists/,more ' progressive tolerance ' in action at yet another university campus : http://fullcomment.nationalpost.com/2014/04/15/robyn-urback-if-this-is-the-new-womens-movement-its-no-wonder-girls-dont-want-to-call-themselves-feminists/,more ' progressive tolerance ' in action at yet another university campus : http://fullcomment.nationalpost.com/2014/04/15/robyn-urback-if-this-is-the-new-womens-movement-its-no-wonder-girls-dont-want-to-call-themselves-feminists/,0,1,1,1,1
i would prefer conference lead scientist rather politician . one look solution global warming contribute global warming simply speak .,i would prefer conference lead scientist rather politician . one look solution global warming contribute global warming simply speak .,i would have prefer a conference of lead scientist rather than politician . one look for solution to global warming while the other contribute to global warming simply by speak .,i would have prefer a conference of lead scientist rather than politician . one look for solution to global warming while the other contribute to global warming simply by speak .,0,1,1,1,1
